"site","date","pm2.5"
"chullora","11/10/2000",NA
"liverpool","11/10/2000",6.6
"chullora","12/10/2000",NA
"earlwood","12/10/2000",5.8
"richmond","12/10/2000",3.2
"liverpool","12/10/2000",7.7
"earlwood","13/10/2000",4.5
"liverpool","13/10/2000",6.1
"richmond","13/10/2000",2
"chullora","13/10/2000",NA
"liverpool","14/10/2000",2.1
"chullora","14/10/2000",NA
"richmond","14/10/2000",1.2
"earlwood","14/10/2000",3.1
"chullora","15/10/2000",NA
"richmond","15/10/2000",1.1
"earlwood","15/10/2000",3.6
"liverpool","15/10/2000",2.8
"richmond","16/10/2000",2.9
"liverpool","16/10/2000",4.4
"earlwood","16/10/2000",4.8
"chullora","16/10/2000",NA
"earlwood","17/10/2000",2.9
"chullora","17/10/2000",NA
"liverpool","17/10/2000",3.7
"richmond","17/10/2000",1.7
"liverpool","18/10/2000",7
"earlwood","18/10/2000",4
"richmond","18/10/2000",2
"chullora","18/10/2000",NA
"chullora","19/10/2000",NA
"liverpool","19/10/2000",4.4
"earlwood","19/10/2000",4.6
"richmond","19/10/2000",1.6
"liverpool","20/10/2000",3
"earlwood","20/10/2000",3.5
"richmond","20/10/2000",2.2
"chullora","20/10/2000",NA
"richmond","21/10/2000",3.1
"chullora","21/10/2000",NA
"earlwood","21/10/2000",3.7
"liverpool","21/10/2000",4.3
"richmond","22/10/2000",3
"earlwood","22/10/2000",3.4
"chullora","22/10/2000",NA
"liverpool","22/10/2000",4.4
"chullora","23/10/2000",NA
"earlwood","23/10/2000",6.4
"liverpool","23/10/2000",7.2
"richmond","23/10/2000",4
"earlwood","24/10/2000",5.6
"liverpool","24/10/2000",6.5
"chullora","24/10/2000",NA
"richmond","24/10/2000",2.9
"earlwood","25/10/2000",2.2
"richmond","25/10/2000",NA
"liverpool","25/10/2000",2
"chullora","25/10/2000",NA
"liverpool","26/10/2000",4.7
"earlwood","26/10/2000",6
"richmond","26/10/2000",1.9
"chullora","26/10/2000",NA
"liverpool","27/10/2000",5.5
"earlwood","27/10/2000",6.2
"richmond","27/10/2000",1.8
"chullora","27/10/2000",NA
"liverpool","28/10/2000",4.4
"chullora","28/10/2000",NA
"richmond","28/10/2000",3.1
"earlwood","28/10/2000",4
"richmond","29/10/2000",3.9
"liverpool","29/10/2000",5.6
"chullora","29/10/2000",NA
"earlwood","29/10/2000",5.2
"liverpool","30/10/2000",6.9
"earlwood","30/10/2000",4.4
"richmond","30/10/2000",3.5
"chullora","30/10/2000",NA
"liverpool","31/10/2000",5
"earlwood","31/10/2000",3.5
"chullora","31/10/2000",NA
"richmond","31/10/2000",2
"richmond","01/11/2000",1.3
"earlwood","01/11/2000",3.8
"liverpool","01/11/2000",4.3
"chullora","01/11/2000",NA
"richmond","02/11/2000",2.6
"earlwood","02/11/2000",5.5
"chullora","02/11/2000",NA
"liverpool","02/11/2000",6.9
"earlwood","03/11/2000",4.9
"liverpool","03/11/2000",6.8
"richmond","03/11/2000",5.3
"chullora","03/11/2000",NA
"chullora","04/11/2000",NA
"richmond","04/11/2000",3.9
"liverpool","04/11/2000",3.5
"earlwood","04/11/2000",3.8
"richmond","05/11/2000",4.3
"liverpool","05/11/2000",6.1
"chullora","05/11/2000",NA
"earlwood","05/11/2000",5.1
"liverpool","06/11/2000",4.2
"earlwood","06/11/2000",3.8
"richmond","06/11/2000",2.7
"chullora","06/11/2000",NA
"liverpool","07/11/2000",2.6
"earlwood","07/11/2000",3.6
"richmond","07/11/2000",1.3
"chullora","07/11/2000",NA
"earlwood","08/11/2000",5.2
"liverpool","08/11/2000",6.5
"chullora","08/11/2000",NA
"richmond","08/11/2000",2.1
"liverpool","09/11/2000",6.8
"earlwood","09/11/2000",7.1
"richmond","09/11/2000",2.8
"chullora","09/11/2000",NA
"liverpool","10/11/2000",6.7
"earlwood","10/11/2000",3.9
"richmond","10/11/2000",3.4
"chullora","10/11/2000",NA
"richmond","11/11/2000",2.7
"chullora","11/11/2000",NA
"liverpool","11/11/2000",4
"earlwood","11/11/2000",3.2
"liverpool","12/11/2000",4.7
"earlwood","12/11/2000",4.7
"richmond","12/11/2000",4.1
"chullora","12/11/2000",NA
"liverpool","13/11/2000",3.6
"richmond","13/11/2000",3.8
"earlwood","13/11/2000",5.8
"chullora","13/11/2000",NA
"richmond","14/11/2000",1.2
"chullora","14/11/2000",NA
"liverpool","14/11/2000",3.7
"earlwood","14/11/2000",3.8
"liverpool","15/11/2000",3.4
"earlwood","15/11/2000",2.8
"richmond","15/11/2000",1.3
"chullora","15/11/2000",NA
"earlwood","16/11/2000",5.1
"chullora","16/11/2000",NA
"liverpool","16/11/2000",5.9
"richmond","16/11/2000",1.4
"richmond","17/11/2000",5.1
"liverpool","17/11/2000",8.9
"chullora","17/11/2000",NA
"earlwood","17/11/2000",9
"earlwood","18/11/2000",7.9
"richmond","18/11/2000",6.9
"chullora","18/11/2000",NA
"liverpool","18/11/2000",9.3
"earlwood","19/11/2000",2.4
"chullora","19/11/2000",NA
"richmond","19/11/2000",2.3
"liverpool","19/11/2000",2.4
"chullora","20/11/2000",NA
"earlwood","20/11/2000",1.8
"liverpool","20/11/2000",3.4
"richmond","20/11/2000",1.5
"chullora","21/11/2000",NA
"liverpool","21/11/2000",3.4
"richmond","21/11/2000",1.4
"earlwood","21/11/2000",2.6
"richmond","22/11/2000",2.6
"earlwood","22/11/2000",5.3
"chullora","22/11/2000",NA
"liverpool","22/11/2000",6.2
"chullora","23/11/2000",NA
"liverpool","23/11/2000",10.1
"richmond","23/11/2000",5
"earlwood","23/11/2000",7.1
"chullora","24/11/2000",NA
"earlwood","24/11/2000",6
"richmond","24/11/2000",7.1
"liverpool","24/11/2000",8.3
"liverpool","25/11/2000",4.4
"richmond","25/11/2000",3.2
"chullora","25/11/2000",NA
"earlwood","25/11/2000",3.4
"earlwood","26/11/2000",6.5
"chullora","26/11/2000",NA
"richmond","26/11/2000",4.9
"liverpool","26/11/2000",7.9
"chullora","27/11/2000",NA
"earlwood","27/11/2000",8.9
"richmond","27/11/2000",6.6
"liverpool","27/11/2000",9.4
"earlwood","28/11/2000",8.8
"richmond","28/11/2000",7.1
"liverpool","28/11/2000",10.6
"chullora","28/11/2000",NA
"chullora","29/11/2000",NA
"earlwood","29/11/2000",10.2
"richmond","29/11/2000",8.1
"liverpool","29/11/2000",12.2
"liverpool","30/11/2000",10.4
"richmond","30/11/2000",4.5
"chullora","30/11/2000",NA
"earlwood","30/11/2000",10.1
"earlwood","01/12/2000",3.1
"chullora","01/12/2000",NA
"richmond","01/12/2000",1.9
"liverpool","01/12/2000",2.9
"chullora","02/12/2000",NA
"earlwood","02/12/2000",4
"richmond","02/12/2000",1.8
"liverpool","02/12/2000",3.8
"richmond","03/12/2000",1.9
"earlwood","03/12/2000",4.6
"chullora","03/12/2000",NA
"liverpool","03/12/2000",5.3
"liverpool","04/12/2000",7
"richmond","04/12/2000",2.3
"chullora","04/12/2000",NA
"earlwood","04/12/2000",5
"chullora","05/12/2000",NA
"earlwood","05/12/2000",5.7
"liverpool","05/12/2000",7.4
"richmond","05/12/2000",2.6
"earlwood","06/12/2000",6.9
"liverpool","06/12/2000",6.5
"richmond","06/12/2000",4.7
"chullora","06/12/2000",NA
"richmond","07/12/2000",4.8
"liverpool","07/12/2000",7.2
"earlwood","07/12/2000",6.6
"chullora","07/12/2000",NA
"earlwood","08/12/2000",7.4
"richmond","08/12/2000",5
"liverpool","08/12/2000",8.8
"chullora","08/12/2000",NA
"richmond","09/12/2000",4.2
"earlwood","09/12/2000",5.4
"chullora","09/12/2000",NA
"liverpool","09/12/2000",5.2
"chullora","10/12/2000",NA
"earlwood","10/12/2000",6.2
"liverpool","10/12/2000",6.7
"richmond","10/12/2000",4.8
"earlwood","11/12/2000",13.4
"liverpool","11/12/2000",14.1
"richmond","11/12/2000",12.1
"chullora","11/12/2000",NA
"chullora","12/12/2000",NA
"richmond","12/12/2000",11
"liverpool","12/12/2000",16.2
"earlwood","12/12/2000",14
"richmond","13/12/2000",8.9
"liverpool","13/12/2000",12.4
"chullora","13/12/2000",NA
"earlwood","13/12/2000",12
"richmond","14/12/2000",4.9
"liverpool","14/12/2000",6
"chullora","14/12/2000",NA
"earlwood","14/12/2000",6.3
"richmond","15/12/2000",3.7
"chullora","15/12/2000",NA
"earlwood","15/12/2000",4.7
"liverpool","15/12/2000",5.1
"liverpool","16/12/2000",4.9
"earlwood","16/12/2000",4.3
"richmond","16/12/2000",3
"chullora","16/12/2000",NA
"richmond","17/12/2000",1.9
"earlwood","17/12/2000",3.7
"chullora","17/12/2000",NA
"liverpool","17/12/2000",4.3
"richmond","18/12/2000",NA
"liverpool","18/12/2000",7.7
"chullora","18/12/2000",NA
"earlwood","18/12/2000",6.3
"earlwood","19/12/2000",8.2
"liverpool","19/12/2000",9.3
"richmond","19/12/2000",NA
"chullora","19/12/2000",NA
"richmond","20/12/2000",NA
"liverpool","20/12/2000",8.5
"chullora","20/12/2000",NA
"earlwood","20/12/2000",8.9
"earlwood","21/12/2000",7.3
"richmond","21/12/2000",7.2
"chullora","21/12/2000",NA
"liverpool","21/12/2000",11.5
"richmond","22/12/2000",6.3
"earlwood","22/12/2000",6.7
"chullora","22/12/2000",NA
"liverpool","22/12/2000",8.6
"liverpool","23/12/2000",4.9
"earlwood","23/12/2000",7
"richmond","23/12/2000",4.3
"chullora","23/12/2000",NA
"liverpool","24/12/2000",3.1
"earlwood","24/12/2000",4.4
"richmond","24/12/2000",1.8
"chullora","24/12/2000",NA
"liverpool","25/12/2000",8.3
"earlwood","25/12/2000",12.3
"richmond","25/12/2000",5.9
"chullora","25/12/2000",NA
"liverpool","26/12/2000",5.9
"earlwood","26/12/2000",8.9
"richmond","26/12/2000",3.3
"chullora","26/12/2000",NA
"earlwood","27/12/2000",6.8
"liverpool","27/12/2000",4.8
"richmond","27/12/2000",3.3
"chullora","27/12/2000",NA
"earlwood","28/12/2000",3.1
"liverpool","28/12/2000",3.1
"richmond","28/12/2000",1.8
"chullora","28/12/2000",NA
"earlwood","29/12/2000",4.2
"chullora","29/12/2000",NA
"liverpool","29/12/2000",5.6
"richmond","29/12/2000",2.8
"richmond","30/12/2000",3.8
"liverpool","30/12/2000",4
"chullora","30/12/2000",NA
"earlwood","30/12/2000",4.2
"chullora","31/12/2000",NA
"liverpool","31/12/2000",4.5
"richmond","31/12/2000",1.8
"earlwood","31/12/2000",3.7
"liverpool","01/01/2001",6
"richmond","01/01/2001",1.9
"earlwood","01/01/2001",8.2
"chullora","01/01/2001",NA
"earlwood","02/01/2001",5.1
"liverpool","02/01/2001",5.7
"richmond","02/01/2001",3.2
"chullora","02/01/2001",NA
"earlwood","03/01/2001",9
"chullora","03/01/2001",NA
"liverpool","03/01/2001",10.2
"richmond","03/01/2001",6.8
"earlwood","04/01/2001",9
"richmond","04/01/2001",7
"liverpool","04/01/2001",11.5
"chullora","04/01/2001",NA
"chullora","05/01/2001",NA
"earlwood","05/01/2001",14.5
"richmond","05/01/2001",7
"liverpool","05/01/2001",13.7
"liverpool","06/01/2001",2.6
"earlwood","06/01/2001",2.3
"chullora","06/01/2001",NA
"richmond","06/01/2001",5.5
"chullora","07/01/2001",NA
"earlwood","07/01/2001",2.9
"richmond","07/01/2001",2.8
"liverpool","07/01/2001",4
"earlwood","08/01/2001",4.7
"richmond","08/01/2001",2.3
"chullora","08/01/2001",NA
"liverpool","08/01/2001",4.9
"chullora","09/01/2001",NA
"liverpool","09/01/2001",4.7
"richmond","09/01/2001",2.1
"earlwood","09/01/2001",4.9
"liverpool","10/01/2001",4.3
"richmond","10/01/2001",2.4
"earlwood","10/01/2001",3.8
"chullora","10/01/2001",NA
"richmond","11/01/2001",2.9
"liverpool","11/01/2001",6.1
"chullora","11/01/2001",NA
"earlwood","11/01/2001",5.6
"richmond","12/01/2001",7.4
"liverpool","12/01/2001",12.6
"chullora","12/01/2001",NA
"earlwood","12/01/2001",12.1
"richmond","13/01/2001",8.2
"chullora","13/01/2001",NA
"earlwood","13/01/2001",8.6
"liverpool","13/01/2001",9.8
"earlwood","14/01/2001",5.6
"liverpool","14/01/2001",7.3
"chullora","14/01/2001",NA
"richmond","14/01/2001",5.7
"earlwood","15/01/2001",NA
"liverpool","15/01/2001",14
"richmond","15/01/2001",10.9
"chullora","15/01/2001",NA
"chullora","16/01/2001",NA
"richmond","16/01/2001",NA
"liverpool","16/01/2001",7.1
"earlwood","16/01/2001",NA
"richmond","17/01/2001",NA
"chullora","17/01/2001",NA
"liverpool","17/01/2001",6.5
"earlwood","17/01/2001",3.1
"liverpool","18/01/2001",2.8
"earlwood","18/01/2001",2.5
"richmond","18/01/2001",NA
"chullora","18/01/2001",NA
"chullora","19/01/2001",NA
"liverpool","19/01/2001",3.4
"richmond","19/01/2001",NA
"earlwood","19/01/2001",3.8
"chullora","20/01/2001",NA
"richmond","20/01/2001",NA
"liverpool","20/01/2001",3.7
"earlwood","20/01/2001",3
"chullora","21/01/2001",NA
"earlwood","21/01/2001",7.4
"liverpool","21/01/2001",10.2
"richmond","21/01/2001",NA
"earlwood","22/01/2001",6.8
"richmond","22/01/2001",NA
"liverpool","22/01/2001",9.6
"chullora","22/01/2001",NA
"richmond","23/01/2001",NA
"chullora","23/01/2001",NA
"liverpool","23/01/2001",15.5
"earlwood","23/01/2001",15.9
"richmond","24/01/2001",NA
"chullora","24/01/2001",NA
"earlwood","24/01/2001",11.8
"liverpool","24/01/2001",13.5
"earlwood","25/01/2001",12.8
"liverpool","25/01/2001",13.7
"richmond","25/01/2001",NA
"chullora","25/01/2001",NA
"chullora","26/01/2001",NA
"richmond","26/01/2001",NA
"liverpool","26/01/2001",10.1
"earlwood","26/01/2001",9.4
"earlwood","27/01/2001",8.2
"chullora","27/01/2001",NA
"liverpool","27/01/2001",8.3
"richmond","27/01/2001",NA
"richmond","28/01/2001",NA
"liverpool","28/01/2001",7.9
"chullora","28/01/2001",NA
"earlwood","28/01/2001",7.6
"earlwood","29/01/2001",7.5
"richmond","29/01/2001",NA
"liverpool","29/01/2001",8.6
"chullora","29/01/2001",NA
"chullora","30/01/2001",NA
"earlwood","30/01/2001",6.1
"richmond","30/01/2001",NA
"liverpool","30/01/2001",7.1
"richmond","31/01/2001",NA
"chullora","31/01/2001",NA
"liverpool","31/01/2001",3
"earlwood","31/01/2001",3.8
"richmond","01/02/2001",NA
"earlwood","01/02/2001",5.1
"chullora","01/02/2001",NA
"liverpool","01/02/2001",4.6
"chullora","02/02/2001",NA
"richmond","02/02/2001",NA
"earlwood","02/02/2001",7.3
"liverpool","02/02/2001",7.9
"richmond","03/02/2001",NA
"liverpool","03/02/2001",10
"chullora","03/02/2001",NA
"earlwood","03/02/2001",8
"earlwood","04/02/2001",10.6
"richmond","04/02/2001",NA
"liverpool","04/02/2001",9.8
"chullora","04/02/2001",NA
"chullora","05/02/2001",NA
"liverpool","05/02/2001",7.5
"earlwood","05/02/2001",7.1
"richmond","05/02/2001",NA
"liverpool","06/02/2001",2.2
"chullora","06/02/2001",NA
"earlwood","06/02/2001",3.4
"richmond","06/02/2001",NA
"earlwood","07/02/2001",4.8
"richmond","07/02/2001",NA
"liverpool","07/02/2001",5.5
"chullora","07/02/2001",NA
"richmond","08/02/2001",NA
"chullora","08/02/2001",NA
"earlwood","08/02/2001",7
"liverpool","08/02/2001",9.8
"liverpool","09/02/2001",14.7
"richmond","09/02/2001",NA
"chullora","09/02/2001",NA
"earlwood","09/02/2001",10.9
"chullora","10/02/2001",NA
"earlwood","10/02/2001",7.3
"richmond","10/02/2001",NA
"liverpool","10/02/2001",8.8
"liverpool","11/02/2001",4.8
"earlwood","11/02/2001",3.9
"chullora","11/02/2001",NA
"richmond","11/02/2001",NA
"liverpool","12/02/2001",NA
"earlwood","12/02/2001",5
"richmond","12/02/2001",NA
"chullora","12/02/2001",NA
"liverpool","13/02/2001",NA
"earlwood","13/02/2001",9.3
"richmond","13/02/2001",NA
"chullora","13/02/2001",NA
"chullora","14/02/2001",NA
"richmond","14/02/2001",NA
"liverpool","14/02/2001",NA
"earlwood","14/02/2001",6.8
"liverpool","15/02/2001",4.3
"earlwood","15/02/2001",4.6
"richmond","15/02/2001",NA
"chullora","15/02/2001",NA
"richmond","16/02/2001",NA
"chullora","16/02/2001",NA
"liverpool","16/02/2001",3.3
"earlwood","16/02/2001",3.5
"earlwood","17/02/2001",2.4
"richmond","17/02/2001",NA
"chullora","17/02/2001",NA
"liverpool","17/02/2001",2.5
"liverpool","18/02/2001",2.9
"earlwood","18/02/2001",2.8
"richmond","18/02/2001",NA
"chullora","18/02/2001",NA
"richmond","19/02/2001",NA
"chullora","19/02/2001",NA
"liverpool","19/02/2001",5.6
"earlwood","19/02/2001",5.1
"richmond","20/02/2001",NA
"chullora","20/02/2001",NA
"liverpool","20/02/2001",4.5
"earlwood","20/02/2001",4
"liverpool","21/02/2001",5.3
"richmond","21/02/2001",NA
"earlwood","21/02/2001",5.3
"chullora","21/02/2001",NA
"richmond","22/02/2001",NA
"liverpool","22/02/2001",7.1
"chullora","22/02/2001",NA
"earlwood","22/02/2001",9.5
"richmond","23/02/2001",NA
"liverpool","23/02/2001",9.2
"earlwood","23/02/2001",9.1
"chullora","23/02/2001",NA
"earlwood","24/02/2001",11.1
"richmond","24/02/2001",NA
"chullora","24/02/2001",NA
"liverpool","24/02/2001",13.7
"earlwood","25/02/2001",4.1
"richmond","25/02/2001",NA
"chullora","25/02/2001",NA
"liverpool","25/02/2001",5.5
"earlwood","26/02/2001",9.6
"liverpool","26/02/2001",NA
"richmond","26/02/2001",NA
"chullora","26/02/2001",NA
"earlwood","27/02/2001",8.1
"richmond","27/02/2001",NA
"chullora","27/02/2001",NA
"liverpool","27/02/2001",NA
"earlwood","28/02/2001",10.7
"chullora","28/02/2001",NA
"richmond","28/02/2001",NA
"liverpool","28/02/2001",9.7
"liverpool","01/03/2001",7
"richmond","01/03/2001",NA
"chullora","01/03/2001",NA
"earlwood","01/03/2001",6.5
"earlwood","02/03/2001",6.9
"chullora","02/03/2001",NA
"liverpool","02/03/2001",8.8
"richmond","02/03/2001",NA
"liverpool","03/03/2001",4
"richmond","03/03/2001",NA
"earlwood","03/03/2001",4.3
"chullora","03/03/2001",NA
"richmond","04/03/2001",NA
"liverpool","04/03/2001",3.5
"chullora","04/03/2001",NA
"earlwood","04/03/2001",2.5
"richmond","05/03/2001",NA
"liverpool","05/03/2001",4.9
"earlwood","05/03/2001",5
"chullora","05/03/2001",NA
"chullora","06/03/2001",NA
"liverpool","06/03/2001",7.7
"earlwood","06/03/2001",6.6
"richmond","06/03/2001",NA
"earlwood","07/03/2001",NA
"chullora","07/03/2001",NA
"liverpool","07/03/2001",6.8
"richmond","07/03/2001",NA
"earlwood","08/03/2001",NA
"richmond","08/03/2001",NA
"chullora","08/03/2001",NA
"liverpool","08/03/2001",8.4
"earlwood","09/03/2001",4.7
"richmond","09/03/2001",NA
"chullora","09/03/2001",NA
"liverpool","09/03/2001",6.1
"liverpool","10/03/2001",6.1
"richmond","10/03/2001",NA
"earlwood","10/03/2001",4.7
"chullora","10/03/2001",NA
"chullora","11/03/2001",NA
"richmond","11/03/2001",NA
"earlwood","11/03/2001",2.6
"liverpool","11/03/2001",4.3
"liverpool","12/03/2001",6.1
"earlwood","12/03/2001",6
"chullora","12/03/2001",NA
"richmond","12/03/2001",NA
"richmond","13/03/2001",NA
"chullora","13/03/2001",NA
"liverpool","13/03/2001",9.7
"earlwood","13/03/2001",7.6
"richmond","14/03/2001",NA
"liverpool","14/03/2001",8.8
"earlwood","14/03/2001",6
"chullora","14/03/2001",NA
"earlwood","15/03/2001",4.8
"chullora","15/03/2001",NA
"liverpool","15/03/2001",8.7
"richmond","15/03/2001",NA
"richmond","16/03/2001",NA
"chullora","16/03/2001",NA
"earlwood","16/03/2001",4.3
"liverpool","16/03/2001",7.5
"richmond","17/03/2001",NA
"earlwood","17/03/2001",1.4
"chullora","17/03/2001",NA
"liverpool","17/03/2001",2.5
"richmond","18/03/2001",NA
"chullora","18/03/2001",NA
"liverpool","18/03/2001",3.7
"earlwood","18/03/2001",3.1
"liverpool","19/03/2001",4.4
"earlwood","19/03/2001",NA
"chullora","19/03/2001",NA
"richmond","19/03/2001",NA
"earlwood","20/03/2001",NA
"richmond","20/03/2001",NA
"chullora","20/03/2001",NA
"liverpool","20/03/2001",13.2
"richmond","21/03/2001",NA
"liverpool","21/03/2001",13.4
"earlwood","21/03/2001",NA
"chullora","21/03/2001",NA
"richmond","22/03/2001",NA
"chullora","22/03/2001",NA
"liverpool","22/03/2001",4.3
"earlwood","22/03/2001",3.5
"chullora","23/03/2001",NA
"earlwood","23/03/2001",6.6
"richmond","23/03/2001",NA
"liverpool","23/03/2001",7.6
"liverpool","24/03/2001",13.6
"richmond","24/03/2001",NA
"earlwood","24/03/2001",10.8
"chullora","24/03/2001",NA
"richmond","25/03/2001",NA
"liverpool","25/03/2001",12.5
"earlwood","25/03/2001",8.5
"chullora","25/03/2001",NA
"earlwood","26/03/2001",6.9
"chullora","26/03/2001",NA
"richmond","26/03/2001",NA
"liverpool","26/03/2001",5.7
"liverpool","27/03/2001",8.2
"chullora","27/03/2001",NA
"richmond","27/03/2001",NA
"earlwood","27/03/2001",8.3
"earlwood","28/03/2001",5.4
"liverpool","28/03/2001",7.4
"richmond","28/03/2001",NA
"chullora","28/03/2001",NA
"liverpool","29/03/2001",6.3
"earlwood","29/03/2001",5.8
"richmond","29/03/2001",NA
"chullora","29/03/2001",NA
"liverpool","30/03/2001",6.2
"chullora","30/03/2001",NA
"richmond","30/03/2001",NA
"earlwood","30/03/2001",5.8
"liverpool","31/03/2001",5.9
"chullora","31/03/2001",NA
"earlwood","31/03/2001",5.5
"richmond","31/03/2001",NA
"richmond","01/04/2001",NA
"earlwood","01/04/2001",5.2
"liverpool","01/04/2001",6.8
"chullora","01/04/2001",NA
"liverpool","02/04/2001",9.9
"earlwood","02/04/2001",8.6
"chullora","02/04/2001",NA
"richmond","02/04/2001",NA
"chullora","03/04/2001",NA
"earlwood","03/04/2001",NA
"liverpool","03/04/2001",5.6
"richmond","03/04/2001",NA
"chullora","04/04/2001",NA
"richmond","04/04/2001",NA
"liverpool","04/04/2001",10.2
"earlwood","04/04/2001",9.8
"richmond","05/04/2001",NA
"liverpool","05/04/2001",NA
"chullora","05/04/2001",NA
"earlwood","05/04/2001",17.6
"richmond","06/04/2001",NA
"earlwood","06/04/2001",16
"liverpool","06/04/2001",6.4
"chullora","06/04/2001",NA
"chullora","07/04/2001",NA
"liverpool","07/04/2001",8.1
"richmond","07/04/2001",NA
"earlwood","07/04/2001",10.1
"liverpool","08/04/2001",7
"earlwood","08/04/2001",6.4
"chullora","08/04/2001",NA
"richmond","08/04/2001",NA
"richmond","09/04/2001",NA
"chullora","09/04/2001",NA
"liverpool","09/04/2001",9.6
"earlwood","09/04/2001",9.4
"earlwood","10/04/2001",4.4
"liverpool","10/04/2001",5.1
"richmond","10/04/2001",NA
"chullora","10/04/2001",NA
"chullora","11/04/2001",NA
"earlwood","11/04/2001",5.6
"richmond","11/04/2001",NA
"liverpool","11/04/2001",4.8
"liverpool","12/04/2001",3.8
"chullora","12/04/2001",NA
"earlwood","12/04/2001",4.2
"richmond","12/04/2001",NA
"richmond","13/04/2001",NA
"earlwood","13/04/2001",8.3
"chullora","13/04/2001",NA
"liverpool","13/04/2001",7.4
"liverpool","14/04/2001",8.2
"earlwood","14/04/2001",8.1
"richmond","14/04/2001",NA
"chullora","14/04/2001",NA
"earlwood","15/04/2001",9.5
"liverpool","15/04/2001",9
"richmond","15/04/2001",NA
"chullora","15/04/2001",NA
"earlwood","16/04/2001",10.8
"chullora","16/04/2001",NA
"richmond","16/04/2001",NA
"liverpool","16/04/2001",11.8
"richmond","17/04/2001",NA
"chullora","17/04/2001",NA
"earlwood","17/04/2001",13.9
"liverpool","17/04/2001",13.7
"liverpool","18/04/2001",20.9
"richmond","18/04/2001",NA
"chullora","18/04/2001",NA
"earlwood","18/04/2001",16.6
"earlwood","19/04/2001",14.5
"richmond","19/04/2001",NA
"chullora","19/04/2001",NA
"liverpool","19/04/2001",17.7
"liverpool","20/04/2001",6.7
"earlwood","20/04/2001",5.7
"chullora","20/04/2001",NA
"richmond","20/04/2001",NA
"richmond","21/04/2001",NA
"chullora","21/04/2001",NA
"liverpool","21/04/2001",3.9
"earlwood","21/04/2001",4.2
"richmond","22/04/2001",NA
"earlwood","22/04/2001",3.5
"chullora","22/04/2001",NA
"liverpool","22/04/2001",3
"earlwood","23/04/2001",6.3
"richmond","23/04/2001",NA
"chullora","23/04/2001",NA
"liverpool","23/04/2001",3.8
"liverpool","24/04/2001",2.5
"richmond","24/04/2001",NA
"chullora","24/04/2001",NA
"earlwood","24/04/2001",NA
"richmond","25/04/2001",NA
"chullora","25/04/2001",NA
"liverpool","25/04/2001",5.4
"earlwood","25/04/2001",3.8
"chullora","26/04/2001",NA
"earlwood","26/04/2001",11.8
"richmond","26/04/2001",NA
"liverpool","26/04/2001",8.8
"chullora","27/04/2001",NA
"earlwood","27/04/2001",17.2
"richmond","27/04/2001",NA
"liverpool","27/04/2001",13.5
"earlwood","28/04/2001",10.6
"chullora","28/04/2001",NA
"liverpool","28/04/2001",8
"richmond","28/04/2001",NA
"liverpool","29/04/2001",2.5
"earlwood","29/04/2001",2.8
"chullora","29/04/2001",NA
"richmond","29/04/2001",NA
"liverpool","30/04/2001",1.4
"richmond","30/04/2001",NA
"chullora","30/04/2001",NA
"earlwood","30/04/2001",2.2
"richmond","01/05/2001",NA
"earlwood","01/05/2001",2.2
"liverpool","01/05/2001",1.8
"chullora","01/05/2001",NA
"richmond","02/05/2001",NA
"chullora","02/05/2001",NA
"liverpool","02/05/2001",2.1
"earlwood","02/05/2001",3
"liverpool","03/05/2001",5.5
"richmond","03/05/2001",NA
"earlwood","03/05/2001",7.7
"chullora","03/05/2001",NA
"richmond","04/05/2001",NA
"earlwood","04/05/2001",14.5
"chullora","04/05/2001",NA
"liverpool","04/05/2001",9.5
"earlwood","05/05/2001",15.6
"richmond","05/05/2001",NA
"chullora","05/05/2001",NA
"liverpool","05/05/2001",9.7
"richmond","06/05/2001",NA
"earlwood","06/05/2001",2.9
"liverpool","06/05/2001",2.5
"chullora","06/05/2001",NA
"chullora","07/05/2001",NA
"earlwood","07/05/2001",3.1
"liverpool","07/05/2001",2.2
"richmond","07/05/2001",NA
"liverpool","08/05/2001",1.6
"richmond","08/05/2001",NA
"chullora","08/05/2001",NA
"earlwood","08/05/2001",2.2
"liverpool","09/05/2001",1.5
"richmond","09/05/2001",1.2
"earlwood","09/05/2001",2.4
"chullora","09/05/2001",NA
"richmond","10/05/2001",2.2
"chullora","10/05/2001",NA
"liverpool","10/05/2001",4.2
"earlwood","10/05/2001",3.1
"liverpool","11/05/2001",5.3
"chullora","11/05/2001",NA
"richmond","11/05/2001",2.9
"earlwood","11/05/2001",3.1
"chullora","12/05/2001",NA
"earlwood","12/05/2001",8.2
"richmond","12/05/2001",6.7
"liverpool","12/05/2001",7.4
"earlwood","13/05/2001",14.2
"liverpool","13/05/2001",12
"chullora","13/05/2001",NA
"richmond","13/05/2001",9
"liverpool","14/05/2001",14.6
"richmond","14/05/2001",10
"earlwood","14/05/2001",17.4
"chullora","14/05/2001",NA
"richmond","15/05/2001",7.2
"chullora","15/05/2001",NA
"liverpool","15/05/2001",13.3
"earlwood","15/05/2001",12.8
"earlwood","16/05/2001",7.4
"richmond","16/05/2001",5.1
"chullora","16/05/2001",NA
"liverpool","16/05/2001",8.6
"chullora","17/05/2001",NA
"earlwood","17/05/2001",12.1
"richmond","17/05/2001",4
"liverpool","17/05/2001",10.5
"earlwood","18/05/2001",4.6
