"site","date","pm2.5"
"richmond","20/06/1996",8.1
"chullora","20/06/1996",NA
"liverpool","21/06/1996",NA
"earlwood","21/06/1996",NA
"richmond","21/06/1996",6.5
"chullora","21/06/1996",NA
"richmond","22/06/1996",11.1
"earlwood","22/06/1996",NA
"chullora","22/06/1996",NA
"liverpool","22/06/1996",NA
"liverpool","23/06/1996",NA
"richmond","23/06/1996",NA
"earlwood","23/06/1996",NA
"chullora","23/06/1996",NA
"chullora","24/06/1996",NA
"liverpool","24/06/1996",NA
"earlwood","24/06/1996",NA
"richmond","24/06/1996",0.8
"earlwood","25/06/1996",NA
"richmond","25/06/1996",3.7
"liverpool","25/06/1996",NA
"chullora","25/06/1996",NA
"liverpool","26/06/1996",NA
"earlwood","26/06/1996",NA
"richmond","26/06/1996",0.3
"chullora","26/06/1996",NA
"richmond","27/06/1996",NA
"liverpool","27/06/1996",NA
"chullora","27/06/1996",NA
"earlwood","27/06/1996",NA
"richmond","28/06/1996",NA
"chullora","28/06/1996",NA
"liverpool","28/06/1996",NA
"earlwood","28/06/1996",NA
"earlwood","29/06/1996",NA
"richmond","29/06/1996",NA
"liverpool","29/06/1996",NA
"chullora","29/06/1996",NA
"liverpool","30/06/1996",NA
"chullora","30/06/1996",NA
"earlwood","30/06/1996",NA
"richmond","30/06/1996",NA
"richmond","01/07/1996",NA
"liverpool","01/07/1996",NA
"earlwood","01/07/1996",NA
"chullora","01/07/1996",NA
"liverpool","02/07/1996",NA
"chullora","02/07/1996",NA
"earlwood","02/07/1996",NA
"richmond","02/07/1996",NA
"earlwood","03/07/1996",NA
"liverpool","03/07/1996",NA
"richmond","03/07/1996",NA
"chullora","03/07/1996",NA
"liverpool","04/07/1996",NA
"richmond","04/07/1996",NA
"chullora","04/07/1996",NA
"earlwood","04/07/1996",NA
"chullora","05/07/1996",NA
"earlwood","05/07/1996",NA
"liverpool","05/07/1996",NA
"richmond","05/07/1996",NA
"liverpool","06/07/1996",NA
"chullora","06/07/1996",NA
"richmond","06/07/1996",NA
"earlwood","06/07/1996",NA
"richmond","07/07/1996",NA
"chullora","07/07/1996",NA
"earlwood","07/07/1996",NA
"liverpool","07/07/1996",NA
"richmond","08/07/1996",NA
"chullora","08/07/1996",NA
"earlwood","08/07/1996",NA
"liverpool","08/07/1996",NA
"richmond","09/07/1996",NA
"earlwood","09/07/1996",NA
"chullora","09/07/1996",NA
"liverpool","09/07/1996",NA
"richmond","10/07/1996",NA
"chullora","10/07/1996",NA
"liverpool","10/07/1996",NA
"earlwood","10/07/1996",NA
"chullora","11/07/1996",NA
"earlwood","11/07/1996",NA
"richmond","11/07/1996",NA
"liverpool","11/07/1996",NA
"liverpool","12/07/1996",NA
"earlwood","12/07/1996",NA
"richmond","12/07/1996",NA
"chullora","12/07/1996",NA
"richmond","13/07/1996",NA
"chullora","13/07/1996",NA
"earlwood","13/07/1996",NA
"liverpool","13/07/1996",NA
"earlwood","14/07/1996",NA
"richmond","14/07/1996",NA
"chullora","14/07/1996",NA
"liverpool","14/07/1996",NA
"liverpool","15/07/1996",NA
"earlwood","15/07/1996",NA
"chullora","15/07/1996",NA
"richmond","15/07/1996",NA
"earlwood","16/07/1996",NA
"chullora","16/07/1996",NA
"liverpool","16/07/1996",NA
"richmond","16/07/1996",NA
"liverpool","17/07/1996",NA
"earlwood","17/07/1996",NA
"richmond","17/07/1996",NA
"chullora","17/07/1996",NA
"earlwood","18/07/1996",NA
"liverpool","18/07/1996",NA
"richmond","18/07/1996",NA
"chullora","18/07/1996",NA
"earlwood","19/07/1996",NA
"liverpool","19/07/1996",NA
"richmond","19/07/1996",NA
"chullora","19/07/1996",NA
"liverpool","20/07/1996",NA
"earlwood","20/07/1996",NA
"richmond","20/07/1996",NA
"chullora","20/07/1996",NA
"chullora","21/07/1996",NA
"liverpool","21/07/1996",NA
"earlwood","21/07/1996",NA
"richmond","21/07/1996",NA
"richmond","22/07/1996",NA
"liverpool","22/07/1996",NA
"chullora","22/07/1996",NA
"earlwood","22/07/1996",NA
"earlwood","23/07/1996",NA
"richmond","23/07/1996",NA
"chullora","23/07/1996",NA
"liverpool","23/07/1996",NA
"chullora","24/07/1996",NA
"earlwood","24/07/1996",NA
"richmond","24/07/1996",NA
"liverpool","24/07/1996",NA
"liverpool","25/07/1996",NA
"chullora","25/07/1996",NA
"earlwood","25/07/1996",NA
"richmond","25/07/1996",NA
"liverpool","26/07/1996",NA
"earlwood","26/07/1996",NA
"richmond","26/07/1996",NA
"chullora","26/07/1996",NA
"liverpool","27/07/1996",NA
"earlwood","27/07/1996",NA
"richmond","27/07/1996",NA
"chullora","27/07/1996",NA
"liverpool","28/07/1996",NA
"chullora","28/07/1996",NA
"earlwood","28/07/1996",NA
"richmond","28/07/1996",NA
"earlwood","29/07/1996",NA
"chullora","29/07/1996",NA
"richmond","29/07/1996",NA
"liverpool","29/07/1996",NA
"liverpool","30/07/1996",NA
"earlwood","30/07/1996",NA
"richmond","30/07/1996",NA
"chullora","30/07/1996",NA
"liverpool","31/07/1996",NA
"chullora","31/07/1996",NA
"richmond","31/07/1996",NA
"earlwood","31/07/1996",NA
"liverpool","01/08/1996",NA
"earlwood","01/08/1996",NA
"richmond","01/08/1996",NA
"chullora","01/08/1996",NA
"earlwood","02/08/1996",NA
"liverpool","02/08/1996",NA
"chullora","02/08/1996",NA
"richmond","02/08/1996",NA
"chullora","03/08/1996",NA
"liverpool","03/08/1996",NA
"earlwood","03/08/1996",NA
"richmond","03/08/1996",NA
"richmond","04/08/1996",NA
"earlwood","04/08/1996",NA
"chullora","04/08/1996",NA
"liverpool","04/08/1996",NA
"liverpool","05/08/1996",NA
"chullora","05/08/1996",NA
"richmond","05/08/1996",NA
"earlwood","05/08/1996",NA
"liverpool","06/08/1996",NA
"richmond","06/08/1996",NA
"chullora","06/08/1996",NA
"earlwood","06/08/1996",NA
"richmond","07/08/1996",NA
"chullora","07/08/1996",NA
"earlwood","07/08/1996",NA
"liverpool","07/08/1996",NA
"liverpool","08/08/1996",NA
"chullora","08/08/1996",NA
"richmond","08/08/1996",NA
"earlwood","08/08/1996",NA
"liverpool","09/08/1996",NA
"chullora","09/08/1996",NA
"earlwood","09/08/1996",NA
"richmond","09/08/1996",NA
"chullora","10/08/1996",NA
"liverpool","10/08/1996",NA
"earlwood","10/08/1996",NA
"richmond","10/08/1996",NA
"earlwood","11/08/1996",NA
"richmond","11/08/1996",NA
"chullora","11/08/1996",NA
"liverpool","11/08/1996",NA
"liverpool","12/08/1996",NA
"chullora","12/08/1996",NA
"earlwood","12/08/1996",NA
"richmond","12/08/1996",NA
"earlwood","13/08/1996",NA
"liverpool","13/08/1996",NA
"richmond","13/08/1996",NA
"chullora","13/08/1996",NA
"liverpool","14/08/1996",NA
"earlwood","14/08/1996",NA
"chullora","14/08/1996",NA
"richmond","14/08/1996",NA
"earlwood","15/08/1996",NA
"liverpool","15/08/1996",NA
"chullora","15/08/1996",NA
"richmond","15/08/1996",NA
"richmond","16/08/1996",5.4
"liverpool","16/08/1996",NA
"chullora","16/08/1996",NA
"earlwood","16/08/1996",NA
"earlwood","17/08/1996",NA
"richmond","17/08/1996",3.9
"chullora","17/08/1996",NA
"liverpool","17/08/1996",NA
"liverpool","18/08/1996",NA
"chullora","18/08/1996",NA
"richmond","18/08/1996",4.1
"earlwood","18/08/1996",NA
"liverpool","19/08/1996",NA
"richmond","19/08/1996",2.2
"earlwood","19/08/1996",NA
"chullora","19/08/1996",NA
"liverpool","20/08/1996",NA
"chullora","20/08/1996",NA
"richmond","20/08/1996",5.8
"earlwood","20/08/1996",NA
"earlwood","21/08/1996",NA
"chullora","21/08/1996",NA
"liverpool","21/08/1996",NA
"richmond","21/08/1996",6.9
"liverpool","22/08/1996",NA
"richmond","22/08/1996",NA
"chullora","22/08/1996",NA
"earlwood","22/08/1996",NA
"earlwood","23/08/1996",NA
"liverpool","23/08/1996",NA
"richmond","23/08/1996",NA
"chullora","23/08/1996",NA
"richmond","24/08/1996",5.5
"earlwood","24/08/1996",NA
"chullora","24/08/1996",NA
"liverpool","24/08/1996",NA
"richmond","25/08/1996",4.7
"liverpool","25/08/1996",NA
"earlwood","25/08/1996",NA
"chullora","25/08/1996",NA
"richmond","26/08/1996",3.5
"chullora","26/08/1996",NA
"liverpool","26/08/1996",NA
"earlwood","26/08/1996",NA
"liverpool","27/08/1996",NA
"earlwood","27/08/1996",NA
"richmond","27/08/1996",8.5
"chullora","27/08/1996",NA
"richmond","28/08/1996",4.1
"chullora","28/08/1996",NA
"liverpool","28/08/1996",NA
"earlwood","28/08/1996",NA
"earlwood","29/08/1996",NA
