"eventid","refid","eventid2","eventtype","place","mindate","maxdate","burnareaha","metconditions"
1031,619,,"bushfire","Newcastle",1994-11-06,1994-11-09,"2000",
1032,619,,"bushfire","Illawarra",1994-11-06,1994-11-08,"2000",
1033,620,,"bushfire","Sydney West",1997-12-02,1997-12-04,,
1034,620,,"bushfire","Sydney East",1997-12-02,1997-12-04,,
1035,620,,"bushfire","Newcastle",1997-12-02,1997-12-04,,
1038,621,,"bushfire","Illawarra",1994-01-04,1994-01-15,"400000",
1039,621,,"bushfire","Newcastle",1994-01-04,1994-01-15,"400000",
1040,622,,"bushfire","Sydney East",2006-10-08,2006-10-09,,
1041,623,,"prescribed burn","Sydney East",2003-09-04,2003-09-06,,
1048,626,,"possible biomass","Sydney West",2004-02-05,2004-02-06,,
1042,623,,"prescribed burn","Sydney West",2003-09-04,2003-09-06,,
1044,625,,"bushfire","Sydney West",2001-12-25,2001-12-31,,
1046,625,,"bushfire","Illawarra",2001-12-25,2001-12-31,,
1047,626,,"possible biomass","Sydney East",2004-02-05,2004-02-06,,
1051,626,,"possible biomass","Illawarra",2004-02-05,2004-02-06,,
1053,627,,"bushfire","Sydney West",2000-10-05,2000-10-07,,
1054,627,,"bushfire","Newcastle",2000-10-05,2000-10-07,,
1052,627,,"bushfire","Sydney East",2000-10-05,2000-10-07,,
1056,628,,"prescribed burn","Sydney East",1995-08-08,1995-08-11,,
1060,628,,"prescribed burn","Sydney West",1995-08-08,1995-08-11,,
1061,628,,"prescribed burn","Illawarra",1995-08-08,1995-08-11,,
1062,628,,"prescribed burn","Newcastle",1995-08-08,1995-08-11,,
1097,646,,"bushfire","Illawarra",1997-11-26,1998-01-01,"100000","Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998"
1098,647,,"bushfire","Sydney East",2000-10-07,2000-10-07,"464","464 Ha Bantry Bay fire starts in Warringah, North Sydney"
1157,680,,"bushfire","Albury",2003-01-22,,,
337,46,,"bushfire","Illawarra",1997-12-01,1997-12-08,"100000",
1249,765,,"bushfire","Sydney East",1994-11-21,,"63ha burnt in Yengo",
1063,629,,"non-biomass, non-fire","Sydney East",1994-08-15,1994-08-16,,"car pollution"
1064,629,,"non-biomass, non-fire","Sydney West",1994-08-15,1994-08-16,,"car pollution"
1099,648,,"bushfire","Newcastle",2001-12-21,2001-12-21,"88000","88000 Ha Martindale Fire starts near Cessnock, 70 km from Newcastle"
1100,648,,"bushfire","Sydney West",2001-12-21,2001-12-21,"88000","88000 Ha Martindale Fire starts near Cessnock, 70 km from Newcastle"
1101,649,,"bushfire","Illawarra",2001-12-24,2002-01-22,,"Many large fires around sydney started 24th December and burnt until Bushfire emergency rescinded 22nd Jan 2002"
953,568,,"bushfire","Illawarra",2007-10-15,2007-10-16,,
1102,649,,"bushfire","Sydney East",2001-12-24,2002-01-22,,"Many large fires around sydney started 24th December and burnt until Bushfire emergency rescinded 22nd Jan 2002"
1066,630,,"dust","Sydney West",2002-10-23,2002-10-24,,
1067,630,,"dust","Newcastle",2002-10-23,2002-10-24,,
1068,630,,"dust","Illawarra",2002-10-23,2002-10-24,,
1103,649,,"bushfire","Sydney West",2001-12-24,2002-01-22,,"Many large fires around sydney started 24th December and burnt until Bushfire emergency rescinded 22nd Jan 2002"
1104,649,,"bushfire","Newcastle",2001-12-24,2002-01-22,,"Many large fires around sydney started 24th December and burnt until Bushfire emergency rescinded 22nd Jan 2002"
1106,650,,"bushfire","Newcastle",2002-10-05,2002-12-21,"87000","87000 ha fire starts about 60 km W from Newcastle. Burnt until 21st December"
1107,651,,"bushfire","Newcastle",2002-10-23,2002-10-28,"43","A 43 ha fire starts at Timber Beach in Newcastle. Burns til 28th"
1108,652,,"bushfire","Newcastle",2002-11-25,2002-12-18,"25000","25000 ha fire starts on 24th Nov  (40 km w of Newcastle). Burns until 18th December"
1070,631,,"dust","Sydney West",1994-05-24,1994-05-25,,
1071,632,,"possible biomass","Sydney East",2006-10-07,2006-10-08,,
1072,632,,"possible biomass","Sydney West",2006-10-07,2006-10-08,,
1073,632,,"possible biomass","Illawarra",2006-10-07,2006-10-08,,
1109,653,,"bushfire","Sydney East",2002-12-04,2002-12-04,"42000","42000 ha fire starts on the Hawksbury River (20 km from Sydney)."
1110,653,,"bushfire","Sydney West",2002-12-04,2002-12-04,"42000","42000 ha fire starts on the Hawksbury River (20 km from Sydney)."
1111,654,,"bushfire","Sydney West",2002-12-05,2003-02-17,"7000","7000 ha fire starts in Blackheath, Blue Mountains. Burns until 17th Feb 2003"
1112,655,,"bushfire","Sydney West",2002-12-07,2002-12-07,"9000","9000 ha fire starts on Sydneys SW outskirts (Heathcote NP)."
1113,656,,"bushfire","Sydney West",2003-01-08,2003-02-26,"90000","Approx 90000 ha fire multiple starts on 6-7th Jan in Wollemi NP, Burns until 26th Feb 2003"
1074,633,,"bushfire","Sydney West",2006-10-31,2006-11-01,,
1075,634,,"bushfire","Sydney West",2006-11-14,2006-11-15,,
1076,634,,"bushfire","Newcastle",2006-11-14,2006-11-15,,
1077,635,,"bushfire","Illawarra",2006-11-24,2006-11-27,,
1078,636,,"prescribed burn","Sydney East",1995-08-09,1995-08-10,,
1079,636,,"prescribed burn","Sydney West",1995-08-09,1995-08-10,,
1080,636,,"prescribed burn","Illawarra",1995-08-09,1995-08-10,,
1114,656,,"bushfire","Sydney East",2003-01-08,2003-02-26,"90000","Approx 90000 ha fire multiple starts on 6-7th Jan in Wollemi NP, Burns until 26th Feb 2003"
1115,656,,"bushfire","Newcastle",2003-09-01,2003-02-26,"90000","Approx 90000 ha fire multiple starts on 6-7th Jan in Wollemi NP, Burns until 26th Feb 2003"
1116,657,,"bushfire","Illawarra",2003-01-09,2003-01-09,"4000","4000 ha fire starts 15 km W of Wollongong"
1117,658,,"prescribed burn","Sydney East",2003-09-06,2003-09-06,,"Several 100 ha Prescribed Burns in Kurringai NP, N of Sydney. Not likely to be responsible esp for W Sydney"
1118,659,,"bushfire","Sydney East",2004-12-08,2004-12-16,"1500","1500 ha Ellis Trig fire starts 8th Dec in Kuringai NP on Sydneys N outskirts. Burns until 16th Dec"
1081,636,,"prescribed burn","Newcastle",1995-08-09,1995-08-10,,
1082,637,,"bushfire","Sydney East",1994-01-11,1994-01-13,,
1083,637,,"bushfire","Sydney West",1994-01-11,1994-01-13,,
1084,637,,"bushfire","Newcastle",1994-01-11,1994-01-13,,
1119,659,,"bushfire","Sydney West",2004-12-08,2004-12-16,"1500","1500 ha Ellis Trig fire starts 8th Dec in Kuringai NP on Sydneys N outskirts. Burns until 16th Dec"
1120,660,,"bushfire","Sydney East",2006-01-01,2006-01-01,"2100","2100 ha Quarry Fire starts near Gosford"
1085,637,,"bushfire","Illawarra",1994-01-11,1994-01-13,,
1086,638,,"bushfire","Sydney East",2001-11-05,2001-11-06,,
1087,638,,"bushfire","Sydney West",2001-11-05,2001-11-06,,
402,211,,"bushfire","Sydney West",1997-11-29,1997-12-08,,
525,307,,"possible biomass","Sydney West",2002-10-29,,,
747,456,,"possible biomass","Sydney West",2003-11-16,,,"cloud cover"
926,556,,"bushfire","Sydney West",2007-10-01,2007-10-06,"2270",
938,559,,"bushfire","Sydney West",2003-01-31,,,
1088,643,,"bushfire","Sydney West",1994-01-07,1994-01-10,,"Major Royal National Park Fire (between Sydney and Wollongong), ignited 5/01/94, burnt until 10/01/94"
1089,644,,"bushfire","Illawarra",1994-11-06,1994-11-07,"5000","5000ha near Lake Burragorang"
1090,644,,"bushfire","Newcastle",1994-11-06,1994-11-07,"5000","5000ha near Lake Burragorang"
1091,644,,"bushfire","Sydney East",1994-11-06,1994-11-07,"5000","5000ha near Lake Burragorang"
1092,644,,"bushfire","Sydney West",1994-11-06,1994-11-07,"5000","5000ha near Lake Burragorang"
1093,645,,"bushfire","Newcastle",1995-03-23,1995-03-23,"20000","Possibly  20 000 ha northern wollemi"
1094,646,,"bushfire","Illawarra",1997-11-26,1998-01-01,"100000","Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998"
1095,646,,"bushfire","Sydney East",1997-11-26,1998-01-01,"100000","Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998"
1096,646,,"bushfire","Sydney West",1997-11-26,1998-01-01,"100000","Many fires burnt ~100 000 ha in N and S Blue Mountains starting Nov 26th, most burnt into january 1998"
1272,783,,"bushfire","Sydney East",1994-05-26,,,
1250,766,,"bushfire","Sydney East",1994-12-20,,"25 ha",
1251,767,,"bushfire","Sydney East",1994-10-07,,,
1252,768,,"bushfire","Sydney East",1998-03-23,,,
1253,769,,"possible biomass","Illawarra",2003-01-18,,,
1254,770,,"possible biomass","Illawarra",2003-01-27,,,
1255,771,,"possible biomass","Illawarra",2003-01-29,2003-01-30,,
1256,771,,"dust","Illawarra",2003-01-29,2003-01-30,,
1257,772,,"possible biomass","Illawarra",2003-12-31,,,
1258,772,,"dust","Illawarra",2003-12-31,,,
497,274,,"possible biomass","PERTH",2001-01-05,2001-01-10,"300000","****please view, could smoke travel this far. High pm for this week no other articles found.  Modis n/a"
1243,760,,"possible biomass","Sydney East",2003-11-15,,,
1244,761,,"bushfire","Sydney East",2003-12-26,,,
1245,216,,"prescribed burn","Newcastle",2005-01-12,,,
1246,762,,"bushfire","Sydney East",2005-01-14,,,
1247,763,,"bushfire","PERTH",2001-01-16,,,
1259,773,,"possible biomass","Illawarra",2004-01-10,,,
884,536,,"bushfire","Sydney East",2006-11-20,2006-11-25,"53000",
845,514,,"bushfire","Sydney East",2005-12-28,,,
830,504,,"bushfire","Sydney East",2002-11-24,2002-11-25,,
1043,625,,"bushfire","Sydney East",2001-12-25,2001-12-31,,
605,397,,"bushfire","Sydney East",2005-12-23,,,
748,457,,"bushfire","Sydney East",2003-12-26,,,
451,240,,"bushfire","Sydney East",2003-01-22,,,"cant actually see the regions on image, but massive amount of smoke south and west of sydney could possibly affect indicated regions as well"
56,28,,"bushfire","PERTH",2005-01-13,2005-01-21,"25000",
627,408,,"bushfire","Sydney East",2002-10-04,2002-10-08,,
1260,773,,"dust","Illawarra",2004-01-10,,,
1261,774,,"possible biomass","Illawarra",2004-02-21,,,
1263,775,,"possible biomass","Illawarra",2005-01-14,,,
1264,776,,"dust","Illawarra",2006-11-21,,,
1265,777,,"possible biomass","Illawarra",2006-12-01,,,
1266,778,,"possible biomass","Newcastle",1997-12-17,1997-12-18,,
1267,779,,"dust","Newcastle",1998-01-02,,,
1202,722,,"possible biomass","BUNBURY",2007-06-01,,,
1203,723,,"bushfire","ALBANY",2006-10-10,,,
1204,724,,"bushfire","Albury",2006-12-07,,,
1268,780,,"possible biomass","Newcastle",2003-01-21,,,
1269,781,,"possible biomass","Newcastle",2003-01-27,,,
1270,782,,"possible biomass","Newcastle",2003-01-30,,,
1271,782,,"dust","Newcastle",2003-01-30,,,
1158,679,,"bushfire","Wagga Wagga",2003-01-18,,,
1159,675,,"bushfire","Wagga Wagga",2003-01-19,,,
1160,681,,"bushfire","Bathurst",2003-01-24,,,
1161,682,,"bushfire","Albury",2003-01-25,,,
1162,682,,"bushfire","Bathurst",2003-01-25,,,
1163,683,,"bushfire","Bathurst",2003-01-25,,,
1164,684,,"bushfire","Albury",2003-01-27,,,
1165,685,,"bushfire","Albury",2003-01-28,,,
1166,686,,"bushfire","Albury",2003-01-29,,,
1167,687,,"bushfire","Bathurst",2003-01-30,,,
1168,688,,"bushfire","Bathurst",2003-01-31,,,
1169,689,,"bushfire","Albury",2003-02-02,,,
1170,690,,"bushfire","Albury",2003-02-03,,,
1171,691,,"possible biomass","Tamworth",2003-01-07,2003-01-08,,
1172,692,,"bushfire","Albury",2003-02-06,,,
1173,693,,"bushfire","Albury",2003-02-07,2003-02-08,,
1174,694,,"possible biomass","Wagga Wagga",2003-03-20,,,
1175,695,,"possible biomass","Tamworth",2003-03-21,,,
1176,696,,"possible biomass","Bathurst",2003-03-20,,,
1177,697,,"bushfire","Bathurst",2002-01-05,2002-01-06,,
1178,698,,"possible biomass","Bathurst",2002-10-23,,,
1179,698,,"possible biomass","Tamworth",2002-10-23,,,
1180,699,,"possible biomass","Tamworth",2002-11-27,2002-11-28,,
1181,700,,"bushfire","Tamworth",2002-12-05,,,
1182,701,,"bushfire","Tamworth",2002-11-08,,,
1183,702,,"possible biomass","BUNBURY",2002-11-08,,,
1184,703,,"bushfire","Tamworth",2002-12-06,,,
1185,704,,"bushfire","Bathurst",2002-12-08,,,
1186,704,,"bushfire","Tamworth",2002-12-07,2002-12-08,,
1187,705,,"bushfire","Tamworth",2002-12-09,,,
1188,706,,"dust","Tamworth",2003-10-28,2003-10-29,,
1189,707,,"bushfire","BUNBURY",2004-04-28,,,
1190,708,,"bushfire","BUNBURY",2004-04-29,,,
1191,709,,"bushfire","BUNBURY",2004-05-05,,,
1192,710,,"bushfire","BUNBURY",2005-01-17,,,
1193,711,,"bushfire","BUNBURY",2005-04-14,2005-04-15,,
1194,712,,"bushfire","BUNBURY",2006-05-10,,,
1195,713,,"bushfire","BUNBURY",2005-11-14,,,
1196,714,,"bushfire","BUNBURY",2006-01-23,2006-01-24,,
1197,715,,"bushfire","BUNBURY",2006-05-11,,,
1198,717,,"bushfire","BUNBURY",2006-05-12,,,
1199,718,,"bushfire","BUNBURY",2006-06-16,2006-06-17,,
1200,719,,"bushfire","BUNBURY",2006-06-18,,,
1201,720,,"possible biomass","BUNBURY",2007-05-10,2007-05-11,,
1205,725,,"bushfire","Albury",2006-12-12,,,
1206,726,,"bushfire","Albury",2006-12-18,2006-12-19,,
1207,727,,"bushfire","Albury",2007-01-09,,,
1208,728,,"bushfire","Albury",2007-01-13,,,
1209,729,,"bushfire","Albury",2007-01-14,,,
1210,730,,"bushfire","ALBANY",2007-02-12,,,
1211,731,,"possible biomass","Albury",2008-04-01,2008-04-02,,
1212,732,,"bushfire","Albury",2009-02-07,,,
1213,733,,"bushfire","Albury",2009-02-08,,,
1214,734,,"bushfire","Albury",2009-02-09,,,
1215,735,,"possible biomass","Bathurst",2004-03-25,2004-03-26,,
1216,736,,"bushfire","Bathurst",2006-12-01,,,
1217,737,,"bushfire","BUSSELTON",2007-10-23,2007-10-24,,
1218,738,,"possible biomass","GERALDTON",2007-05-09,2007-05-10,,
1219,739,,"possible biomass","Tamworth",2004-02-21,2004-02-22,,
1220,740,,"bushfire","Tamworth",2005-02-08,2005-02-09,,
1221,741,,"bushfire","Tamworth",2007-10-03,,,
1276,786,,"bushfire","PERTH",1997-02-16,1997-02-17,,
1278,788,,"dust","Sydney East",1994-05-24,1994-05-26,,
1279,790,,"dust","Sydney East",1994-04-07,,,
1277,787,,"dust","Sydney East",1994-05-24,1994-05-26,,"Reports of visibilities of around 1 km in Sydney were common. (page 5)"
1281,791,,"dust","Sydney East",1994-04-07,,,"code 6 dust haze reported at sydney"
1282,791,,"dust","Sydney East",1996-02-01,,,"code 6/7 dust haze/raised dust or sand"
1284,791,,"dust","Sydney East",2007-05-04,,,"Had to be corroborated with Dr Craig Strong"
1285,794,,"dust","Sydney East",2007-05-04,,,
